Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Corey Kispert,SF,22,WAS,2,0,7.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,0.0,,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,2.0
Maxi Kleber,PF,30,DAL,3,0,18.0,1.7,4.3,.385,1.7,3.7,.455,0.0,0.7,.000,.577,0.7,0.7,1.000,1.0,4.0,5.0,0.0,0.7,0.0,1.0,2.0,5.7
Kevin Knox,SF,22,NYK,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
John Konchar,SG,25,MEM,2,0,17.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,0.0,,1.0,2.5,3.5,0.5,0.5,0.0,0.5,2.0,2.0
Furkan Korkmaz,SG,24,PHI,4,0,20.5,4.0,9.8,.410,2.0,5.3,.381,2.0,4.5,.444,.513,2.5,2.8,.909,0.3,1.3,1.5,3.3,0.8,0.0,1.0,0.3,12.5
Vit Krejci,SG,21,OKC,2,0,4.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0
Kyle Kuzma,SF,26,WAS,3,3,33.3,5.7,13.7,.415,2.3,7.3,.318,3.3,6.3,.526,.500,0.7,1.3,.500,1.3,11.7,13.0,2.3,0.7,0.3,3.0,1.3,14.3
Jeremy Lamb,SF,29,IND,4,0,20.3,2.8,7.5,.367,2.0,4.3,.471,0.8,3.3,.231,.500,1.3,1.3,1.000,0.0,2.3,2.3,0.8,0.3,0.5,0.8,1.5,8.8
Jock Landale,C,26,SAS,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.5,1.0,.500,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5
Romeo Langford,SG,22,BOS,2,0,19.5,3.0,5.5,.545,2.0,3.0,.667,1.0,2.5,.400,.727,0.0,0.0,,2.0,0.5,2.5,0.0,1.0,0.0,2.5,2.0,8.0
Zach LaVine,SG,26,CHI,4,4,33.8,8.8,17.5,.500,3.0,6.8,.444,5.8,10.8,.535,.586,5.0,5.3,.952,0.3,5.0,5.3,4.8,0.5,0.5,3.0,1.0,25.5
Jake Layman,SF,27,MIN,1,0,5.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Damion Lee,SG,29,GSW,4,0,26.8,4.8,10.0,.475,2.0,4.3,.471,2.8,5.8,.478,.575,2.8,3.0,.917,0.3,2.0,2.3,1.3,0.0,0.0,0.3,1.8,14.3
Saben Lee,PG,22,DET,2,0,8.5,0.5,2.5,.200,0.0,0.5,.000,0.5,2.0,.250,.200,0.0,0.0,,0.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5,1.0
Alex Len,C,28,SAC,1,0,23.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,6.0,8.0,.750,1.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,8.0
Kira Lewis Jr.,PG,20,NOP,4,0,12.3,1.3,4.8,.263,0.5,2.0,.250,0.8,2.8,.273,.316,0.0,0.0,,0.5,1.3,1.8,3.0,0.3,0.0,1.5,0.8,3.0
